id_propiedad,ciudad,barrio,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion
41,madrid,centro,Venta,piso,387340.0,76.8,1,1,reformado,1986,séptimo,1,1,1,1,0,5.6,2024-12-21
42,madrid,centro,Venta,estudio,390323.0,77.9,1,1,obra nueva,2023,séptimo,1,1,0,0,1,5.76,2024-11-17
43,madrid,chamberí,Venta,chalet,629773.0,106.8,1,1,buen estado,2001,octavo,0,0,1,0,0,7.44,2024-10-24
44,madrid,arganzuela,Venta,piso,439993.0,86.5,2,1,buen estado,1974,octavo,0,0,0,1,0,7.34,2024-11-18
45,madrid,salamanca,Alquiler,piso,,,5,3,buen estado,1950,noveno,0,1,1,0,0,3.4,2024-10-26
46,madrid,arganzuela,Alquiler,piso,339996.0,65.2,2,2,reformado,1960,noveno,1,0,0,1,1,7.37,2024-12-11
47,madrid,tetuán,Venta,estudio,355364.0,77.1,1,,buen estado,1975,noveno,1,,0,1,1,5.64,2025-03-02
48,madrid,tetuán,Venta,piso,375666.0,86.7,5,1,buen estado,2007,quinto,1,1,0,1,1,6.63,2024-12-09
49,madrid,retiro,Venta,estudio,409971.0,98.2,1,1,buen estado,1998,quinto,0,1,,0,0,4.16,2024-10-27
50,madrid,salamanca,Venta,chalet,311026.0,68.0,2,1,a reformar,2010,primero,1,0,0,1,0,3.41,2025-02-23
51,madrid,chamberí,Venta,piso,462193.0,98.7,1,1,buen estado,1973,primero,1,1,0,0,1,6.21,2024-12-10
52,madrid,retiro,Venta,piso,361605.0,65.8,,,buen estado,1968,cuarto,1,1,1,0,1,2.33,
53,madrid,arganzuela,Venta,estudio,488325.0,99.2,,1,buen estado,1983,ático,1,1,0,1,0,4.48,2024-11-04
54,madrid,chamberí,Venta,ático,502181.0,91.0,1,1,obra nueva,2019,cuarto,1,0,1,1,0,5.31,2024-12-20
55,madrid,tetuán,Venta,piso,248735.0,55.9,4,2,buen estado,1983,cuarto,1,1,0,1,1,,2025-02-15
56,madrid,centro,Venta,ático,484158.0,99.6,3,1,buen estado,1980,ático,0,1,0,1,0,3.64,2025-01-25
57,madrid,retiro,Venta,piso,552851.0,101.1,3,3,buen estado,1963,cuarto,1,0,1,0,1,0.79,2024-11-19
58,madrid,arganzuela,Venta,estudio,,,1,1,buen estado,1984,primero,0,1,1,0,0,4.77,2024-10-28
59,madrid,arganzuela,Alquiler,piso,403196.0,75.3,2,1,obra nueva,2022,octavo,1,1,0,1,0,8.26,2024-11-15
60,madrid,centro,Venta,piso,573348.0,98.8,2,1,reformado,1970,bajo,1,0,0,1,1,5.69,2025-01-08
61,madrid,chamberí,Venta,estudio,352221.0,77.5,1,1,buen estado,1974,octavo,0,0,1,0,0,5.51,2025-01-21
62,madrid,tetuán,Alquiler,ático,317995.0,69.2,1,1,buen estado,1989,segundo,1,0,0,1,0,6.1,2024-11-23
63,madrid,centro,Venta,estudio,495633.0,118.9,,1,buen estado,1994,sexto,1,1,1,0,0,5.42,
64,madrid,arganzuela,Alquiler,piso,427817.0,94.9,1,1,obra nueva,2018,sexto,0,0,0,0,0,4.43,2024-10-18
65,madrid,centro,Venta,dúplex,404027.0,74.4,4,1,buen estado,1966,cuarto,1,0,1,1,1,6.18,2024-12-06
66,madrid,chamberí,Venta,piso,294533.0,60.3,1,1,buen estado,1980,primero,1,,0,1,0,4.16,2024-12-19
67,madrid,retiro,Venta,piso,,,4,1,a reformar,2000,octavo,,,0,1,0,5.13,2025-01-01
68,madrid,salamanca,Venta,chalet,1087781.0,208.0082652998236,1,1,buen estado,1966,cuarto,0,0,1,1,0,6.92,2024-10-18
69,madrid,salamanca,Venta,piso,443369.0,82.3,2,1,obra nueva,2021,noveno,1,1,0,,,5.87,2025-02-16
70,madrid,salamanca,Venta,piso,,32.2,3,2,buen estado,1968,sexto,1,0,0,1,1,5.15,2024-10-09
71,madrid,tetuán,Alquiler,piso,407679.0,80.3,2,1,obra nueva,2023,ático,1,1,1,1,0,5.6,2024-11-28
72,madrid,retiro,Venta,ático,406332.0,81.7,1,1,reformado,1969,noveno,0,1,0,0,0,6.11,2024-12-28
73,madrid,arganzuela,Alquiler,estudio,474008.0,83.7,,1,buen estado,1998,cuarto,,0,0,0,0,6.18,2025-03-28
74,madrid,centro,Venta,estudio,376020.0,77.5,1,1,buen estado,1992,tercero,0,,1,0,0,3.25,2025-01-24
75,madrid,arganzuela,Alquiler,estudio,371069.0,78.6,1,1,reformado,1988,noveno,0,0,0,0,0,6.93,2025-03-03
76,madrid,retiro,Venta,dúplex,334706.0,60.7,4,2,buen estado,1975,tercero,0,1,0,1,0,3.74,2025-01-27
77,madrid,tetuán,Venta,piso,537783.0,88.2,3,2,buen estado,1972,ático,0,0,,1,1,7.13,2024-12-02
78,madrid,tetuán,Venta,ático,326495.0,63.8,6,1,obra nueva,2019,ático,1,0,1,1,0,5.88,2024-10-30
79,madrid,retiro,Venta,estudio,248495.0,55.9,1,1,buen estado,2013,tercero,1,0,0,0,0,3.99,2025-03-30
80,madrid,retiro,Venta,piso,465879.0,92.6,5,3,buen estado,1974,tercero,0,0,0,1,0,6.88,2025-02-07
81,madrid,tetuán,Alquiler,piso,409846.0,80.2,3,1,buen estado,1972,ático,0,0,0,1,0,4.64,2025-03-05
82,madrid,chamberí,Alquiler,piso,238367.0,49.1,1,1,buen estado,1998,segundo,1,1,0,0,0,,2025-03-25
83,madrid,arganzuela,Venta,dúplex,426433.0,104.9,2,2,obra nueva,2018,sexto,0,1,0,1,1,5.99,
84,madrid,chamberí,Alquiler,estudio,454916.0,93.5,1,1,buen estado,1996,octavo,1,1,1,0,1,6.22,2024-12-11
85,madrid,salamanca,Venta,dúplex,499192.0,106.8,2,1,buen estado,1986,octavo,1,0,0,1,0,2.38,2025-03-10
86,madrid,retiro,Alquiler,ático,379685.0,74.5,2,2,buen estado,1983,octavo,1,1,1,0,1,7.82,2025-01-26
87,madrid,tetuán,Venta,piso,409655.0,80.2,4,3,reformado,1979,séptimo,0,0,0,1,0,3.08,2024-12-14
88,madrid,chamberí,Alquiler,piso,,68.8,2,2,obra nueva,2021,ático,1,0,0,1,1,4.75,2024-12-09
89,madrid,retiro,Venta,estudio,380495.0,82.3,,1,buen estado,1954,quinto,,0,0,0,0,6.14,2024-12-29
90,madrid,tetuán,Venta,piso,566618.0,109.2,3,1,buen estado,1983,segundo,1,0,0,0,0,4.64,2025-04-07
91,madrid,chamberí,Venta,piso,397272.0,70.5,4,1,buen estado,2007,sexto,1,0,0,1,0,,2024-10-24
92,madrid,chamberí,Alquiler,piso,326459.0,59.9,1,1,obra nueva,2023,bajo,0,0,0,1,1,5.46,2025-03-05
93,madrid,centro,Venta,ático,,,2,1,buen estado,1974,sexto,1,0,0,0,1,6.44,2025-01-24
94,madrid,tetuán,Alquiler,piso,486414.0,104.0,2,,buen estado,1977,tercero,0,0,1,0,0,6.54,2025-02-10
95,madrid,chamberí,Venta,piso,476913.0,86.4,2,1,buen estado,2011,ático,1,,0,0,0,3.39,2025-03-31
96,madrid,centro,Alquiler,dúplex,,65.0,5,1,reformado,2006,noveno,1,1,,1,0,3.28,2025-02-22
97,madrid,salamanca,Alquiler,piso,278262.0,47.8,4,3,buen estado,1983,primero,1,0,0,0,1,5.82,2025-03-22
98,madrid,centro,Venta,piso,430581.0,87.0,3,2,buen estado,1991,sexto,0,0,0,0,0,8.67,2024-12-31
99,madrid,chamberí,Venta,piso,258920.0,56.5,1,1,reformado,1972,cuarto,1,0,0,0,0,5.61,2025-01-24
100,madrid,retiro,Alquiler,piso,473869.0,98.8,2,1,obra nueva,2018,quinto,0,,1,1,0,5.23,2024-12-05
101,madrid,arganzuela,Venta,chalet,350988.0,67.1,4,2,buen estado,1996,bajo,1,0,0,1,0,6.09,2024-12-11
102,madrid,chamberí,Alquiler,estudio,422829.0,86.3,,1,buen estado,1978,séptimo,1,0,0,1,1,6.64,2025-03-29
103,madrid,salamanca,Venta,piso,543811.0,110.2,2,1,buen estado,2000,quinto,1,0,,0,0,6.64,2024-11-20
104,madrid,tetuán,Venta,estudio,537994.0,105.8,1,1,buen estado,2005,segundo,1,0,0,1,0,7.81,
105,madrid,salamanca,Venta,ático,690870.0,130.6,2,1,buen estado,1986,sexto,0,1,0,0,0,7.19,2025-01-18
106,madrid,arganzuela,Venta,piso,311319.0,62.6,7,1,obra nueva,2019,primero,1,1,0,1,0,2.85,2025-04-05
107,madrid,retiro,Alquiler,estudio,253174.0,58.9,1,1,buen estado,1992,noveno,1,0,1,0,0,7.92,2024-10-19
108,madrid,retiro,Venta,estudio,324814.0,70.1,1,1,buen estado,1955,ático,0,0,0,1,1,4.78,2025-01-04
109,madrid,salamanca,Alquiler,dúplex,273837.0,61.1,2,,buen estado,2013,quinto,1,0,0,1,0,5.33,2025-03-20
110,madrid,centro,Alquiler,piso,563962.0,97.7,3,1,obra nueva,2023,cuarto,1,1,0,0,0,5.57,2025-03-15
111,madrid,tetuán,Alquiler,piso,391537.0,71.2,,1,obra nueva,2022,cuarto,1,1,0,1,0,,2024-12-30
112,madrid,chamberí,Alquiler,piso,453002.0,88.2,3,1,reformado,1982,tercero,1,0,0,1,0,1.62,2025-02-04
113,madrid,tetuán,Venta,piso,284027.0,66.7,1,1,buen estado,1989,quinto,1,1,0,0,0,2.58,2024-11-24
114,madrid,centro,Venta,dúplex,332355.0,73.8,1,1,buen estado,1964,noveno,1,0,0,1,0,5.95,2025-04-06
115,madrid,retiro,Venta,piso,,,3,3,buen estado,2020,tercero,0,0,1,1,0,6.95,2025-01-21
116,madrid,centro,Venta,piso,282155.0,51.2,3,1,buen estado,1990,séptimo,1,1,0,0,0,3.1,2025-01-31
117,madrid,salamanca,Venta,piso,263336.0,58.1,,1,buen estado,2003,cuarto,1,0,0,0,0,,2025-03-27
118,madrid,tetuán,Venta,piso,381599.0,84.3,4,1,buen estado,1940,octavo,0,,0,1,0,6.86,2025-01-01
119,madrid,retiro,Alquiler,piso,,106.2,6,2,buen estado,1995,primero,0,0,1,0,0,1.84,2024-11-27
120,madrid,retiro,Venta,piso,257360.0,49.2,2,1,obra nueva,2019,tercero,1,0,1,,1,5.82,2024-12-03
121,madrid,arganzuela,Venta,estudio,542896.0,106.6,1,1,a reformar,1948,octavo,1,1,0,0,0,6.02,2025-03-10
122,madrid,retiro,Alquiler,dúplex,586049.0,101.9,5,1,buen estado,2008,quinto,0,0,1,1,0,2.59,2024-11-23
123,madrid,retiro,Venta,piso,442716.0,86.4,3,1,buen estado,1987,bajo,1,1,0,0,1,3.78,2025-02-27
124,madrid,retiro,Venta,piso,582737.0,124.4,2,1,reformado,1973,séptimo,1,1,0,1,0,4.61,2024-11-04
125,madrid,salamanca,Venta,piso,299620.0,73.4,1,1,buen estado,1975,segundo,0,0,1,1,0,5.54,2024-10-22
126,madrid,retiro,Alquiler,piso,292059.0,50.5,2,1,obra nueva,2021,séptimo,1,0,,,0,3.97,2024-10-27
127,madrid,tetuán,Venta,piso,453347.0,98.3,4,,buen estado,1975,noveno,1,0,0,0,0,3.8,2024-12-25
128,madrid,salamanca,Alquiler,piso,537442.0,95.7,1,1,obra nueva,2022,noveno,1,1,1,1,1,6.38,2025-03-16
129,madrid,chamberí,Alquiler,piso,323034.0,61.3,4,2,reformado,1970,cuarto,1,1,0,0,0,4.0,2025-03-08
130,madrid,centro,Venta,estudio,366868.0,82.1,1,1,buen estado,1982,primero,1,1,0,0,0,2.5,2024-12-01
131,madrid,arganzuela,Venta,estudio,262263.0,63.8,,1,buen estado,1975,segundo,1,0,0,0,1,4.42,2025-02-27
132,madrid,salamanca,Venta,piso,347523.0,71.9,2,1,buen estado,1994,séptimo,0,0,,0,1,2.11,2024-12-22
133,madrid,salamanca,Venta,estudio,311444.0,72.1,1,1,obra nueva,2021,primero,1,1,0,1,1,4.13,
134,madrid,chamberí,Alquiler,dúplex,463665.0,89.3,1,1,buen estado,1991,ático,1,0,0,1,0,3.29,2024-11-28
135,madrid,centro,Venta,piso,821547.0,183.64665879238623,5,2,buen estado,1992,cuarto,0,0,0,0,0,4.28,2024-11-14
136,madrid,salamanca,Venta,dúplex,322898.0,71.3,4,4,buen estado,1966,noveno,1,1,0,1,0,1.59,2024-12-21
137,madrid,centro,Venta,estudio,628623.0,122.7,1,1,buen estado,1997,cuarto,0,0,0,1,1,4.16,2025-02-14
138,madrid,tetuán,Venta,piso,356337.0,74.8,5,1,buen estado,1988,sexto,0,1,0,0,0,2.99,2024-12-30
139,madrid,tetuán,Venta,piso,445458.0,83.2,3,3,a reformar,1983,noveno,0,0,0,0,1,3.06,2025-03-08
140,madrid,salamanca,Alquiler,estudio,542243.0,122.7,1,1,buen estado,1981,bajo,0,0,1,0,0,1.5,2024-11-22
141,madrid,centro,Venta,piso,175212.0,32.4,6,2,buen estado,1997,noveno,1,0,0,1,1,6.47,2025-01-28
142,madrid,arganzuela,Alquiler,chalet,365022.0,84.3,2,2,buen estado,1978,sexto,0,0,0,1,0,4.78,2025-01-02
143,madrid,retiro,Venta,ático,385149.0,73.1,5,3,buen estado,1979,séptimo,1,0,0,0,1,4.94,
144,madrid,arganzuela,Alquiler,dúplex,186455.0,32.7,,1,buen estado,1995,séptimo,0,0,0,1,0,5.54,2024-10-31
145,madrid,retiro,Venta,piso,493219.0,101.7,3,1,obra nueva,2022,bajo,0,1,0,1,0,5.87,2025-03-26
146,madrid,tetuán,Venta,piso,410185.0,90.9,1,1,buen estado,1997,noveno,1,1,0,0,1,5.89,2025-02-13
147,madrid,arganzuela,Venta,piso,,,1,1,buen estado,1997,segundo,1,0,0,0,1,5.25,2024-12-21
148,madrid,centro,Alquiler,piso,422899.0,79.2,3,1,buen estado,1995,ático,1,0,0,1,1,9.12,2025-03-13
149,madrid,chamberí,Alquiler,piso,366173.0,76.3,3,,buen estado,1978,sexto,1,0,0,0,0,3.43,2024-11-01
150,madrid,chamberí,Alquiler,ático,413753.0,87.6,,,buen estado,1971,primero,0,0,0,0,1,5.44,2025-03-23
151,madrid,chamberí,Venta,estudio,261958.0,62.7,1,1,buen estado,1979,cuarto,1,0,0,0,1,5.95,2025-01-23
152,madrid,centro,Alquiler,piso,231256.0,47.5,3,1,buen estado,1994,sexto,1,1,0,0,0,5.57,2024-11-26
153,madrid,tetuán,Venta,ático,,,2,1,reformado,1974,cuarto,0,0,,1,0,5.77,2025-01-23
154,madrid,retiro,Alquiler,piso,245817.0,45.1,1,1,obra nueva,2020,cuarto,1,0,0,1,0,7.74,2025-03-08
155,madrid,tetuán,Alquiler,piso,411786.0,75.2,2,1,buen estado,1977,octavo,1,0,0,1,1,,2025-02-09
156,madrid,retiro,Venta,dúplex,471258.0,105.3,2,2,buen estado,1978,quinto,1,0,1,0,0,6.08,2024-11-26
157,madrid,arganzuela,Venta,piso,,73.4,2,2,reformado,1979,sexto,,0,0,0,0,6.56,2024-10-20
158,madrid,retiro,Alquiler,estudio,247066.0,49.6,1,1,obra nueva,2021,ático,1,1,0,,0,4.27,2025-03-24
159,madrid,chamberí,Venta,piso,326022.0,67.6,2,2,buen estado,2020,noveno,1,0,0,0,1,4.24,2025-01-01
160,madrid,salamanca,Alquiler,piso,,,3,1,buen estado,1980,séptimo,1,0,0,0,0,4.7,2024-10-12
161,madrid,arganzuela,Venta,ático,509510.0,103.4,2,1,a reformar,1989,primero,,1,0,0,0,2.95,2025-02-06
162,madrid,retiro,Venta,estudio,403662.0,88.4,1,1,buen estado,1984,quinto,0,0,1,1,0,5.56,2025-03-30
163,madrid,tetuán,Venta,piso,676323.0,129.3,2,1,obra nueva,2021,octavo,1,0,0,0,0,6.17,2024-10-18
164,madrid,tetuán,Venta,estudio,519454.0,92.6,1,1,reformado,1967,tercero,1,1,0,,,3.99,2024-11-01
165,madrid,centro,Alquiler,dúplex,365551.0,67.2,1,1,obra nueva,2018,séptimo,1,1,1,0,0,6.25,2024-11-20
166,madrid,arganzuela,Venta,piso,225565.0,43.2,1,1,buen estado,1981,bajo,1,0,,0,1,3.14,2024-12-23
167,madrid,retiro,Venta,piso,428865.0,75.7,4,,buen estado,1973,noveno,0,1,1,0,0,5.15,2025-04-01
168,madrid,chamberí,Venta,piso,309087.0,68.7,3,1,reformado,1963,noveno,1,0,,1,0,2.28,2025-04-01
169,madrid,chamberí,Venta,piso,412666.0,83.3,1,1,buen estado,1985,ático,1,1,1,1,0,6.34,2024-12-13
170,madrid,centro,Venta,piso,,,5,1,obra nueva,2020,ático,1,1,0,,0,4.57,2025-02-25
171,madrid,chamberí,Venta,ático,453137.0,82.6,3,2,a reformar,1981,cuarto,1,0,1,1,0,4.83,2025-03-21
172,madrid,centro,Venta,piso,850997.0,170.99343540509597,5,1,buen estado,1985,sexto,0,0,0,1,0,3.56,2025-02-09
173,madrid,salamanca,Venta,piso,490342.0,86.5,4,1,buen estado,1988,cuarto,1,1,,0,0,4.93,2024-10-14
174,madrid,arganzuela,Venta,piso,354865.0,65.5,1,,reformado,1986,bajo,1,0,0,1,1,5.17,2025-03-13
175,madrid,arganzuela,Venta,ático,433082.0,83.6,3,1,buen estado,1988,tercero,1,0,0,0,0,6.66,2025-03-13
176,madrid,retiro,Venta,piso,426681.0,82.6,2,1,buen estado,2020,ático,1,1,1,1,1,4.9,2025-04-01
177,madrid,chamberí,Venta,ático,257588.0,47.9,1,1,buen estado,2008,cuarto,,1,0,1,0,5.84,2025-01-29
178,madrid,salamanca,Venta,estudio,584523.0,110.4,1,1,buen estado,1993,cuarto,,0,1,1,0,5.97,2024-12-31
179,madrid,arganzuela,Venta,piso,274915.0,64.3,2,1,obra nueva,2020,octavo,1,1,1,,1,4.41,2025-02-14
180,madrid,retiro,Alquiler,piso,675359.0,75.3,3,1,obra nueva,2021,cuarto,1,1,0,1,1,4.22,2025-01-03
181,madrid,salamanca,Venta,piso,610911.0,106.5,2,2,obra nueva,2019,ático,1,1,0,0,1,4.72,2025-03-30
182,madrid,centro,Alquiler,dúplex,367065.0,83.8,3,1,buen estado,1989,sexto,0,0,1,0,0,2.92,2024-10-12
183,madrid,retiro,Venta,piso,419282.0,74.1,3,1,buen estado,1953,ático,,0,0,1,0,,2024-12-15
184,madrid,tetuán,Venta,estudio,375994.0,79.0,1,1,buen estado,1976,ático,1,0,0,0,0,5.03,2024-12-07
185,madrid,centro,Venta,ático,353371.0,80.3,1,,buen estado,1982,noveno,1,1,1,0,0,1.89,2024-12-04
186,madrid,arganzuela,Venta,dúplex,343972.0,79.6,1,1,reformado,1985,cuarto,0,1,0,0,1,7.41,2025-03-24
187,madrid,centro,Venta,piso,,86.7,2,1,buen estado,1968,séptimo,1,0,0,1,1,3.85,2024-11-07
188,madrid,salamanca,Venta,piso,424298.0,81.4,1,,buen estado,1966,quinto,0,1,0,1,1,2.15,2025-03-29
189,madrid,arganzuela,Venta,piso,487924.0,91.8,3,1,buen estado,1987,segundo,1,1,0,0,,4.81,2025-01-23
190,madrid,arganzuela,Venta,piso,346000.0,75.8,1,,buen estado,1970,cuarto,1,1,0,0,1,4.17,2024-10-17
191,madrid,arganzuela,Venta,piso,277944.0,64.3,1,1,a reformar,1975,quinto,1,1,0,0,0,6.09,2024-11-03
192,madrid,arganzuela,Venta,ático,374932.0,81.2,2,2,buen estado,1969,bajo,0,0,0,1,0,4.61,2025-01-18
193,madrid,retiro,Venta,piso,497603.0,96.4,1,1,obra nueva,2021,primero,0,1,1,1,1,4.19,2025-03-27
194,madrid,chamberí,Venta,piso,,105.8,2,1,buen estado,1996,quinto,0,0,0,1,0,5.12,2024-12-10
195,madrid,chamberí,Alquiler,piso,469163.0,95.2,1,1,obra nueva,2022,tercero,1,0,0,0,1,6.63,2025-03-08
196,madrid,chamberí,Alquiler,piso,432288.0,84.2,3,1,obra nueva,2022,bajo,1,0,0,1,0,2.45,2024-12-18
197,madrid,chamberí,Alquiler,piso,275408.0,68.8,6,1,obra nueva,2018,ático,1,1,0,0,1,3.36,2024-10-15
198,madrid,chamberí,Venta,dúplex,414138.0,78.6,3,2,buen estado,1965,quinto,1,1,0,1,0,1.73,2024-10-13
199,madrid,chamberí,Venta,piso,219729.0,42.1,3,1,buen estado,1986,primero,1,0,0,1,0,4.73,2024-10-25
200,madrid,centro,Venta,piso,430478.0,93.1,2,1,buen estado,1972,séptimo,1,0,,1,,4.19,2025-02-14
201,madrid,chamberí,Alquiler,piso,327465.0,67.4,,2,obra nueva,2023,octavo,1,1,1,0,0,5.99,2024-12-25
202,madrid,centro,Venta,piso,472045.0,108.1,4,3,a reformar,1987,sexto,1,1,1,0,0,4.37,2025-01-26
203,madrid,arganzuela,Venta,estudio,379633.0,82.2,1,1,buen estado,1991,primero,,0,1,1,0,6.95,2024-12-30
204,madrid,tetuán,Venta,piso,553015.0,102.5,5,1,buen estado,1973,noveno,0,1,1,1,0,4.0,2025-02-26
205,madrid,arganzuela,Venta,chalet,464857.0,83.9,1,1,buen estado,1979,séptimo,1,1,,1,0,3.67,
206,madrid,tetuán,Venta,dúplex,527642.0,112.4,2,1,buen estado,1964,ático,1,1,0,0,0,5.49,2025-03-24
207,madrid,tetuán,Alquiler,piso,503987.0,99.0,3,1,buen estado,2008,tercero,1,0,1,0,1,5.84,2025-01-22
208,madrid,retiro,Alquiler,piso,416549.0,85.0,4,1,obra nueva,2020,sexto,1,0,0,1,1,5.01,2024-12-28
209,madrid,arganzuela,Venta,chalet,427054.0,75.8,5,3,buen estado,1985,séptimo,1,1,0,0,0,5.13,
210,madrid,salamanca,Alquiler,piso,308548.0,59.3,,1,buen estado,1978,quinto,1,1,,0,0,3.18,2024-11-11
211,madrid,tetuán,Venta,chalet,382077.0,86.8,1,1,buen estado,1990,ático,0,0,,0,1,2.14,2024-11-09
212,madrid,centro,Venta,estudio,373794.0,85.2,1,1,obra nueva,2023,bajo,1,,1,1,1,9.22,2024-12-21
213,madrid,tetuán,Venta,piso,157954.0,32.2,6,2,buen estado,2001,segundo,1,1,0,0,0,7.16,2025-03-26
214,madrid,centro,Venta,piso,,,3,2,obra nueva,2020,primero,1,1,1,1,1,2.49,2024-12-19
215,madrid,tetuán,Venta,piso,397632.0,84.9,1,1,buen estado,1958,noveno,0,1,1,1,0,5.73,2025-03-15
216,madrid,arganzuela,Venta,piso,635009.0,115.4,2,1,reformado,1991,cuarto,0,,0,1,,6.51,2024-10-16
217,madrid,chamberí,Venta,dúplex,274122.0,76.5,2,1,reformado,1983,quinto,1,1,0,0,0,6.77,2024-10-10
